date,daily_kWh,daily_peak_kW
2025-02-01,748.462,36.689
2025-02-02,748.462,36.689
2025-02-03,2237.112,233.059
2025-02-04,2477.712,256.825
2025-02-05,2284.767,229.92
2025-02-06,2190.557,229.92
2025-02-07,2201.931,229.92
2025-02-08,748.462,36.689
2025-02-09,733.787,36.689
2025-02-10,2193.125,229.92
2025-02-11,2602.864,256.825
2025-02-12,2156.208,240.234
2025-02-13,2064.933,229.92
2025-02-14,2252.277,247.408
2025-02-15,748.462,36.689
2025-02-16,733.787,36.689
2025-02-17,2421.863,248.305
2025-02-18,2241.384,256.825
2025-02-19,2141.516,240.682
2025-02-20,2242.697,246.512
2025-02-21,2067.33,229.92
2025-02-22,733.787,36.689
2025-02-23,733.787,36.689
2025-02-24,2153.077,256.825
2025-02-25,2060.962,229.92
2025-02-26,2055.606,228.126
2025-02-27,2014.114,224.09
2025-02-28,2010.967,222.745
